?defined_class	?defined_class_label	?entity	?entity_label
<http://purl.obolibrary.org/obo/HP_0012347>	"Abnormal protein N-linked glycosylation"	<http://purl.obolibrary.org/obo/GO_0006487>	"protein N-linked glycosylation"
<http://purl.obolibrary.org/obo/HP_0012358>	"Abnormal protein O-linked glycosylation"	<http://purl.obolibrary.org/obo/GO_0006493>	"protein O-linked glycosylation"
<http://purl.obolibrary.org/obo/HP_0012346>	"Abnormal protein glycosylation"	<http://purl.obolibrary.org/obo/GO_0006486>	"protein glycosylation"
<http://purl.obolibrary.org/obo/HP_0006529>	"Abnormal pulmonary lymphatics"	<http://purl.obolibrary.org/obo/UBERON_0018226>	"pulmonary part of lymphatic system"
<http://purl.obolibrary.org/obo/HP_0012535>	"Abnormal synaptic transmission"	<http://purl.obolibrary.org/obo/GO_0042133>	"neurotransmitter metabolic process"
<http://purl.obolibrary.org/obo/HP_0011403>	"Abnormal umbilical cord blood vessels"	<http://purl.obolibrary.org/obo/UBERON_0010260>	"umbilical blood vessel"
<http://purl.obolibrary.org/obo/HP_0012590>	"Abnormal urine output"	<http://purl.obolibrary.org/obo/GO_0060073>	"micturition"
<http://purl.obolibrary.org/obo/HP_0007670>	"Abnormal vestibulo-ocular reflex"	<http://purl.obolibrary.org/obo/NBO_0000416>	"vestibulo-ocular reflex"
<http://purl.obolibrary.org/obo/HP_0005925>	"Abnormalities of the diaphyses of the hand"	_:Bgenid30129	
<http://purl.obolibrary.org/obo/HP_0005923>	"Abnormalities of the metaphyses of the hand"	_:Bgenid30104	
<http://purl.obolibrary.org/obo/HP_0002846>	"Abnormality of B cells"	<http://purl.obolibrary.org/obo/CL_0000236>	"B cell"
<http://purl.obolibrary.org/obo/HP_0003254>	"Abnormality of DNA repair"	<http://purl.obolibrary.org/obo/GO_0006281>	"DNA repair"
<http://purl.obolibrary.org/obo/HP_0011490>	"Abnormality of Descemet's membrane"	<http://purl.obolibrary.org/obo/UBERON_0004367>	"Descemet's membrane"
<http://purl.obolibrary.org/obo/HP_0000816>	"Abnormality of Krebs cycle metabolism"	<http://purl.obolibrary.org/obo/GO_0006099>	"tricarboxylic acid cycle"
<http://purl.obolibrary.org/obo/HP_0002843>	"Abnormality of T cells"	<http://purl.obolibrary.org/obo/CL_0000084>	"T cell"
<http://purl.obolibrary.org/obo/HP_0001438>	"Abnormality of abdomen morphology"	<http://purl.obolibrary.org/obo/UBERON_0000916>	"abdomen"
<http://purl.obolibrary.org/obo/HP_0010916>	"Abnormality of alanine metabolism"	<http://purl.obolibrary.org/obo/GO_0006522>	"alanine metabolic process"
<http://purl.obolibrary.org/obo/HP_0004379>	"Abnormality of alkaline phosphatase activity"	<http://purl.obolibrary.org/obo/GO_0004035>	"alkaline phosphatase activity"
<http://purl.obolibrary.org/obo/HP_0004337>	"Abnormality of amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0006520>	"cellular amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_3000023>	"Abnormality of angular artery"	<http://purl.obolibrary.org/obo/UBERON_0010408>	"ocular angle artery"
<http://purl.obolibrary.org/obo/HP_3000031>	"Abnormality of anterior ethmoidal artery"	<http://purl.obolibrary.org/obo/UBERON_0012318>	"anterior ethmoidal artery"
<http://purl.obolibrary.org/obo/HP_0010909>	"Abnormality of arginine metabolism"	<http://purl.obolibrary.org/obo/GO_0006525>	"arginine metabolic process"
<http://purl.obolibrary.org/obo/HP_0004338>	"Abnormality of aromatic amino acid family metabolism"	<http://purl.obolibrary.org/obo/GO_0009072>	"aromatic amino acid family metabolic process"
<http://purl.obolibrary.org/obo/HP_3000056>	"Abnormality of artery of lower lip"	<http://purl.obolibrary.org/obo/UBERON_0003471>	"artery of lower lip"
<http://purl.obolibrary.org/obo/HP_0010899>	"Abnormality of aspartate family amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0009066>	"aspartate family amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0001871>	"Abnormality of blood and blood-forming tissues"	<http://purl.obolibrary.org/obo/UBERON_0002390>	"hematopoietic system"
<http://purl.obolibrary.org/obo/HP_0011028>	"Abnormality of blood circulation"	<http://purl.obolibrary.org/obo/GO_0008015>	"blood circulation"
<http://purl.obolibrary.org/obo/HP_3000030>	"Abnormality of bony orbit of skull"	<http://purl.obolibrary.org/obo/UBERON_0001697>	"orbit of skull"
<http://purl.obolibrary.org/obo/HP_0010892>	"Abnormality of branched chain family amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0009081>	"branched-chain amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_3000027>	"Abnormality of buccinator muscle"	<http://purl.obolibrary.org/obo/UBERON_0001582>	"buccinator muscle"
<http://purl.obolibrary.org/obo/HP_0004363>	"Abnormality of calcium homeostasis"	<http://purl.obolibrary.org/obo/GO_0055074>	"calcium ion homeostasis"
<http://purl.obolibrary.org/obo/HP_0011078>	"Abnormality of canine"	<http://purl.obolibrary.org/obo/UBERON_0003674>	"cuspid"
<http://purl.obolibrary.org/obo/HP_0011013>	"Abnormality of carbohydrate metabolism/homeostasis"	<http://purl.obolibrary.org/obo/GO_0005975>	"carbohydrate metabolic process"
<http://purl.obolibrary.org/obo/HP_0004354>	"Abnormality of carboxylic acid metabolism"	<http://purl.obolibrary.org/obo/GO_0019752>	"carboxylic acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0005120>	"Abnormality of cardiac atrium"	_:Bgenid28051	
<http://purl.obolibrary.org/obo/HP_0001713>	"Abnormality of cardiac ventricle"	_:Bgenid15378	
<http://purl.obolibrary.org/obo/HP_0010967>	"Abnormality of carnitine metabolism"	<http://purl.obolibrary.org/obo/GO_0009437>	"carnitine metabolic process"
<http://purl.obolibrary.org/obo/HP_3000022>	"Abnormality of cartilage of external ear"	<http://purl.obolibrary.org/obo/UBERON_0001867>	"cartilage of external ear"
<http://purl.obolibrary.org/obo/HP_3000034>	"Abnormality of cartilage of nasal septum"	<http://purl.obolibrary.org/obo/UBERON_0003407>	"cartilage of nasal septum"
<http://purl.obolibrary.org/obo/HP_0010929>	"Abnormality of cation homeostasis"	<http://purl.obolibrary.org/obo/GO_0055080>	"cation homeostasis"
<http://purl.obolibrary.org/obo/HP_3000032>	"Abnormality of central retinal artery"	<http://purl.obolibrary.org/obo/UBERON_0001620>	"central retinal artery"
<http://purl.obolibrary.org/obo/HP_0009145>	"Abnormality of cerebral artery"	<http://purl.obolibrary.org/obo/UBERON_0004449>	"cerebral artery"
<http://purl.obolibrary.org/obo/HP_0012480>	"Abnormality of cerebral veins"	<http://purl.obolibrary.org/obo/UBERON_0001663>	"cerebral vein"
<http://purl.obolibrary.org/obo/HP_3000035>	"Abnormality of cervical plexus"	<http://purl.obolibrary.org/obo/UBERON_0003725>	"cervical nerve plexus"
<http://purl.obolibrary.org/obo/HP_0011115>	"Abnormality of chemokine secretion"	<http://purl.obolibrary.org/obo/GO_0090195>	"chemokine secretion"
<http://purl.obolibrary.org/obo/HP_0011422>	"Abnormality of chloride homeostasis"	<http://purl.obolibrary.org/obo/GO_0055064>	"chloride ion homeostasis"
<http://purl.obolibrary.org/obo/HP_0011019>	"Abnormality of chromosome condensation"	<http://purl.obolibrary.org/obo/GO_0030261>	"chromosome condensation"
<http://purl.obolibrary.org/obo/HP_3000025>	"Abnormality of ciliary ganglion"	<http://purl.obolibrary.org/obo/UBERON_0002058>	"main ciliary ganglion"
<http://purl.obolibrary.org/obo/HP_0012518>	"Abnormality of circle of Willis"	<http://purl.obolibrary.org/obo/UBERON_0003709>	"circle of Willis"
<http://purl.obolibrary.org/obo/HP_0011965>	"Abnormality of citrulline metabolism"	<http://purl.obolibrary.org/obo/GO_0000052>	"citrulline metabolic process"
<http://purl.obolibrary.org/obo/HP_0003549>	"Abnormality of connective tissue"	<http://purl.obolibrary.org/obo/UBERON_0002384>	"connective tissue"
<http://purl.obolibrary.org/obo/HP_0011488>	"Abnormality of corneal endothelium"	<http://purl.obolibrary.org/obo/UBERON_0001985>	"corneal endothelium"
<http://purl.obolibrary.org/obo/HP_0011495>	"Abnormality of corneal epithelium"	<http://purl.obolibrary.org/obo/UBERON_0001772>	"corneal epithelium"
<http://purl.obolibrary.org/obo/HP_0011492>	"Abnormality of corneal stroma"	<http://purl.obolibrary.org/obo/UBERON_0001777>	"substantia propria of cornea"
<http://purl.obolibrary.org/obo/HP_0100623>	"Abnormality of corpus cavernosum"	<http://purl.obolibrary.org/obo/UBERON_0006609>	"corpus cavernosum"
<http://purl.obolibrary.org/obo/HP_0410016>	"Abnormality of cranial ganglion"	<http://purl.obolibrary.org/obo/UBERON_0001714>	"cranial ganglion"
<http://purl.obolibrary.org/obo/HP_0011329>	"Abnormality of cranial sutures"	<http://purl.obolibrary.org/obo/UBERON_0003685>	"cranial suture"
<http://purl.obolibrary.org/obo/HP_0012113>	"Abnormality of creatine metabolism"	<http://purl.obolibrary.org/obo/GO_0006600>	"creatine metabolic process"
<http://purl.obolibrary.org/obo/HP_3000038>	"Abnormality of cricoid cartilage"	<http://purl.obolibrary.org/obo/UBERON_0002375>	"cricoid cartilage"
<http://purl.obolibrary.org/obo/HP_0010918>	"Abnormality of cysteine metabolism"	<http://purl.obolibrary.org/obo/GO_0006534>	"cysteine metabolic process"
<http://purl.obolibrary.org/obo/HP_0011113>	"Abnormality of cytokine secretion"	<http://purl.obolibrary.org/obo/GO_0050663>	"cytokine secretion"
<http://purl.obolibrary.org/obo/HP_0000682>	"Abnormality of dental enamel"	_:Bgenid11014	
<http://purl.obolibrary.org/obo/HP_3000028>	"Abnormality of depressor anguli oris muscle"	<http://purl.obolibrary.org/obo/UBERON_0008597>	"depressor anguli oris muscle"
<http://purl.obolibrary.org/obo/HP_3000029>	"Abnormality of depressor labii inferioris"	<http://purl.obolibrary.org/obo/UBERON_0001581>	"depressor labii inferioris"
<http://purl.obolibrary.org/obo/HP_0010995>	"Abnormality of dicarboxylic acid metabolism"	<http://purl.obolibrary.org/obo/GO_0043648>	"dicarboxylic acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0011297>	"Abnormality of digit"	<http://purl.obolibrary.org/obo/UBERON_0002544>	"digit"
<http://purl.obolibrary.org/obo/HP_0010927>	"Abnormality of divalent inorganic cation homeostasis"	<http://purl.obolibrary.org/obo/GO_0072507>	"divalent inorganic cation homeostasis"
<http://purl.obolibrary.org/obo/HP_3000039>	"Abnormality of dorsal nasal artery"	<http://purl.obolibrary.org/obo/UBERON_0001623>	"dorsal nasal artery"
<http://purl.obolibrary.org/obo/HP_0000363>	"Abnormality of earlobe"	<http://purl.obolibrary.org/obo/UBERON_0001847>	"lobule of pinna"
<http://purl.obolibrary.org/obo/HP_3000040>	"Abnormality of ethmoid sinus"	<http://purl.obolibrary.org/obo/UBERON_0002453>	"ethmoid sinus"
<http://purl.obolibrary.org/obo/HP_3000041>	"Abnormality of external carotid artery"	<http://purl.obolibrary.org/obo/UBERON_0001070>	"external carotid artery"
<http://purl.obolibrary.org/obo/HP_0040174>	"Abnormality of extrinsic muscle of tongue"	<http://purl.obolibrary.org/obo/UBERON_0001575>	"extrinsic muscle of tongue"
<http://purl.obolibrary.org/obo/HP_0000496>	"Abnormality of eye movement"	<http://purl.obolibrary.org/obo/NBO_0000444>	"eye movement"
<http://purl.obolibrary.org/obo/HP_0000291>	"Abnormality of facial adipose tissue"	_:Bgenid8676	
<http://purl.obolibrary.org/obo/HP_3000024>	"Abnormality of facial artery"	<http://purl.obolibrary.org/obo/UBERON_0001612>	"facial artery"
<http://purl.obolibrary.org/obo/HP_0011821>	"Abnormality of facial skeleton"	<http://purl.obolibrary.org/obo/UBERON_0011156>	"facial skeleton"
<http://purl.obolibrary.org/obo/HP_3000043>	"Abnormality of facial vein"	<http://purl.obolibrary.org/obo/UBERON_0001653>	"facial vein"
<http://purl.obolibrary.org/obo/HP_0004359>	"Abnormality of fatty-acid metabolism"	<http://purl.obolibrary.org/obo/GO_0006631>	"fatty acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0010593>	"Abnormality of fibular epiphyses"	<http://purl.obolibrary.org/obo/UBERON_0004388>	"epiphysis of fibula"
<http://purl.obolibrary.org/obo/HP_0001167>	"Abnormality of finger"	_:Bgenid13401	
<http://purl.obolibrary.org/obo/HP_0011032>	"Abnormality of fluid regulation"	<http://purl.obolibrary.org/obo/GO_0050878>	"regulation of body fluid levels"
<http://purl.obolibrary.org/obo/HP_0011328>	"Abnormality of fontanelles"	<http://purl.obolibrary.org/obo/UBERON_0002221>	"fontanelle"
<http://purl.obolibrary.org/obo/HP_3000044>	"Abnormality of frontal process of maxilla"	<http://purl.obolibrary.org/obo/UBERON_0013767>	"frontal process of maxilla"
<http://purl.obolibrary.org/obo/HP_0002687>	"Abnormality of frontal sinus"	<http://purl.obolibrary.org/obo/UBERON_0001760>	"frontal sinus"
<http://purl.obolibrary.org/obo/HP_3000004>	"Abnormality of frontalis muscle belly"	<http://purl.obolibrary.org/obo/UBERON_0010952>	"frontalis muscle belly"
<http://purl.obolibrary.org/obo/HP_0410014>	"Abnormality of ganglion"	<http://purl.obolibrary.org/obo/UBERON_0000045>	"ganglion"
<http://purl.obolibrary.org/obo/HP_0410015>	"Abnormality of ganglion of peripheral nervous system"	<http://purl.obolibrary.org/obo/UBERON_0003338>	"ganglion of peripheral nervous system"
<http://purl.obolibrary.org/obo/HP_0004345>	"Abnormality of ganglioside metabolism"	<http://purl.obolibrary.org/obo/GO_0001573>	"ganglioside metabolic process"
<http://purl.obolibrary.org/obo/HP_0004296>	"Abnormality of gastrointestinal vasculature"	_:Bgenid25824	
<http://purl.obolibrary.org/obo/HP_3000045>	"Abnormality of genioglossus muscle"	<http://purl.obolibrary.org/obo/UBERON_0001571>	"genioglossus muscle"
<http://purl.obolibrary.org/obo/HP_3000046>	"Abnormality of geniohyoid muscle"	<http://purl.obolibrary.org/obo/UBERON_0001565>	"geniohyoid muscle"
<http://purl.obolibrary.org/obo/HP_3000047>	"Abnormality of glossopharyngeal nerve"	<http://purl.obolibrary.org/obo/UBERON_0001649>	"glossopharyngeal nerve"
<http://purl.obolibrary.org/obo/HP_0010902>	"Abnormality of glutamine family amino acid metabolism"	<http://purl.obolibrary.org/obo/GO_0009064>	"glutamine family amino acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0010903>	"Abnormality of glutamine metabolism"	<http://purl.obolibrary.org/obo/GO_0006541>	"glutamine metabolic process"
<http://purl.obolibrary.org/obo/HP_0010895>	"Abnormality of glycine metabolism"	<http://purl.obolibrary.org/obo/GO_0006544>	"glycine metabolic process"
<http://purl.obolibrary.org/obo/HP_0010969>	"Abnormality of glycolipid metabolism"	<http://purl.obolibrary.org/obo/GO_0006664>	"glycolipid metabolic process"
<http://purl.obolibrary.org/obo/HP_0004343>	"Abnormality of glycosphingolipid metabolism"	<http://purl.obolibrary.org/obo/GO_0006687>	"glycosphingolipid metabolic process"
<http://purl.obolibrary.org/obo/HP_3000048>	"Abnormality of great auricular nerve"	<http://purl.obolibrary.org/obo/UBERON_0008833>	"great auricular nerve"
<http://purl.obolibrary.org/obo/HP_3000049>	"Abnormality of greater palatine artery"	<http://purl.obolibrary.org/obo/UBERON_0006664>	"greater palatine artery"
<http://purl.obolibrary.org/obo/HP_0009887>	"Abnormality of hair pigmentation"	_:Bgenid44782	
<http://purl.obolibrary.org/obo/HP_3000036>	"Abnormality of head blood vessel"	<http://purl.obolibrary.org/obo/UBERON_0003496>	"head blood vessel"
<http://purl.obolibrary.org/obo/HP_0010904>	"Abnormality of histidine metabolism"	<http://purl.obolibrary.org/obo/GO_0006547>	"histidine metabolic process"
<http://purl.obolibrary.org/obo/HP_0010919>	"Abnormality of homocysteine metabolism"	<http://purl.obolibrary.org/obo/GO_0050667>	"homocysteine metabolic process"
<http://purl.obolibrary.org/obo/HP_3000051>	"Abnormality of hyoglossus muscle"	<http://purl.obolibrary.org/obo/UBERON_0001572>	"hyoglossus muscle"
<http://purl.obolibrary.org/obo/HP_3000053>	"Abnormality of hypopharynx"	<http://purl.obolibrary.org/obo/UBERON_0001051>	"hypopharynx"
<http://purl.obolibrary.org/obo/HP_3000054>	"Abnormality of inferior alveolar artery"	<http://purl.obolibrary.org/obo/UBERON_0014693>	"inferior alveolar artery"
<http://purl.obolibrary.org/obo/HP_3000055>	"Abnormality of inferior alveolar nerve"	<http://purl.obolibrary.org/obo/UBERON_0018405>	"inferior alveolar nerve"
<http://purl.obolibrary.org/obo/HP_3000057>	"Abnormality of inferior oblique extraocular muscle"	<http://purl.obolibrary.org/obo/UBERON_0006320>	"inferior oblique extraocular muscle"
<http://purl.obolibrary.org/obo/HP_3000058>	"Abnormality of inferior rectus extraocular muscle"	<http://purl.obolibrary.org/obo/UBERON_0006322>	"inferior rectus extraocular muscle"
<http://purl.obolibrary.org/obo/HP_3000059>	"Abnormality of inferior thyroid vein"	<http://purl.obolibrary.org/obo/UBERON_0007156>	"inferior thyroid vein"
<http://purl.obolibrary.org/obo/HP_3000061>	"Abnormality of infra-orbital nerve"	<http://purl.obolibrary.org/obo/UBERON_0018408>	"infra-orbital nerve"
<http://purl.obolibrary.org/obo/HP_3000060>	"Abnormality of infraorbital artery"	<http://purl.obolibrary.org/obo/UBERON_0004646>	"infraorbital artery"
<http://purl.obolibrary.org/obo/HP_3000062>	"Abnormality of internal carotid artery"	<http://purl.obolibrary.org/obo/UBERON_0001532>	"internal carotid artery"
<http://purl.obolibrary.org/obo/HP_3000063>	"Abnormality of internal jugular vein"	<http://purl.obolibrary.org/obo/UBERON_0001586>	"internal jugular vein"
<http://purl.obolibrary.org/obo/HP_3000064>	"Abnormality of intrinsic muscle of tongue"	<http://purl.obolibrary.org/obo/UBERON_0001576>	"intrinsic muscle of tongue"
<http://purl.obolibrary.org/obo/HP_0010912>	"Abnormality of isoleucine metabolism"	<http://purl.obolibrary.org/obo/GO_0006549>	"isoleucine metabolic process"
<http://purl.obolibrary.org/obo/HP_0045037>	"Abnormality of jaw muscles"	<http://purl.obolibrary.org/obo/UBERON_0011648>	"jaw muscle"
<http://purl.obolibrary.org/obo/HP_3000042>	"Abnormality of jugular vein"	<http://purl.obolibrary.org/obo/UBERON_0004711>	"jugular vein"
<http://purl.obolibrary.org/obo/HP_3000065>	"Abnormality of lacrimal artery"	<http://purl.obolibrary.org/obo/UBERON_0001622>	"lacrimal artery"
<http://purl.obolibrary.org/obo/HP_3000066>	"Abnormality of lacrimal sac"	<http://purl.obolibrary.org/obo/UBERON_0001351>	"lacrimal sac"
<http://purl.obolibrary.org/obo/HP_3000067>	"Abnormality of lateral crico-arytenoid"	<http://purl.obolibrary.org/obo/UBERON_0008573>	"lateral crico-arytenoid"
<http://purl.obolibrary.org/obo/HP_3000068>	"Abnormality of lateral pterygoid muscle"	<http://purl.obolibrary.org/obo/UBERON_0006719>	"lateral pterygoid muscle"
<http://purl.obolibrary.org/obo/HP_3000069>	"Abnormality of lateral rectus extra-ocular muscle"	<http://purl.obolibrary.org/obo/UBERON_0001603>	"lateral rectus extra-ocular muscle"
<http://purl.obolibrary.org/obo/HP_0004357>	"Abnormality of leucine metabolism"	<http://purl.obolibrary.org/obo/GO_0006551>	"leucine metabolic process"
<http://purl.obolibrary.org/obo/HP_3000070>	"Abnormality of levator anguli oris"	<http://purl.obolibrary.org/obo/UBERON_0008595>	"levator anguli oris"
<http://purl.obolibrary.org/obo/HP_3000071>	"Abnormality of levator labii superioris"	<http://purl.obolibrary.org/obo/UBERON_0001580>	"levator labii superioris"
<http://purl.obolibrary.org/obo/HP_3000072>	"Abnormality of levator palpebrae superioris"	<http://purl.obolibrary.org/obo/UBERON_0001604>	"levator palpebrae superioris"
<http://purl.obolibrary.org/obo/HP_3000073>	"Abnormality of levator veli palatini muscle"	<http://purl.obolibrary.org/obo/UBERON_0008585>	"levator veli palatini"
<http://purl.obolibrary.org/obo/HP_0006505>	"Abnormality of limb epiphysis morphology"	_:Bgenid31965	
<http://purl.obolibrary.org/obo/HP_3000074>	"Abnormality of lingual artery"	<http://purl.obolibrary.org/obo/UBERON_0001610>	"lingual artery"
<http://purl.obolibrary.org/obo/HP_3000075>	"Abnormality of lingual nerve"	<http://purl.obolibrary.org/obo/UBERON_0003721>	"lingual nerve"
<http://purl.obolibrary.org/obo/HP_3000076>	"Abnormality of lingual tonsil"	<http://purl.obolibrary.org/obo/UBERON_0007250>	"lingual tonsil"
<http://purl.obolibrary.org/obo/HP_0010968>	"Abnormality of liposaccharide metabolism"	<http://purl.obolibrary.org/obo/GO_1903509>	"liposaccharide metabolic process"
<http://purl.obolibrary.org/obo/HP_0010964>	"Abnormality of long-chain fatty-acid metabolism"	<http://purl.obolibrary.org/obo/GO_0001676>	"long-chain fatty acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0006500>	"Abnormality of lower limb epiphysis morphology"	_:Bgenid31914	
<http://purl.obolibrary.org/obo/HP_0100491>	"Abnormality of lower limb joint"	<http://purl.obolibrary.org/obo/UBERON_0003840>	"hindlimb joint"
<http://purl.obolibrary.org/obo/HP_0006490>	"Abnormality of lower-limb metaphyses"	_:Bgenid31826	
<http://purl.obolibrary.org/obo/HP_0010908>	"Abnormality of lysine metabolism"	<http://purl.obolibrary.org/obo/GO_0006553>	"lysine metabolic process"
<http://purl.obolibrary.org/obo/HP_0008002>	"Abnormality of macular pigmentation"	_:Bgenid34890	
<http://purl.obolibrary.org/obo/HP_0004921>	"Abnormality of magnesium homeostasis"	<http://purl.obolibrary.org/obo/GO_0010960>	"magnesium ion homeostasis"
<http://purl.obolibrary.org/obo/HP_0012369>	"Abnormality of malar bones"	<http://purl.obolibrary.org/obo/UBERON_0002500>	"zygomatic arch"
<http://purl.obolibrary.org/obo/HP_3000077>	"Abnormality of mandible condylar process"	<http://purl.obolibrary.org/obo/UBERON_0004657>	"mandible condylar process"
<http://purl.obolibrary.org/obo/HP_3000078>	"Abnormality of mandible coronoid process"	<http://purl.obolibrary.org/obo/UBERON_0004660>	"mandible coronoid process"
<http://purl.obolibrary.org/obo/HP_3000003>	"Abnormality of mandibular ramus"	<http://purl.obolibrary.org/obo/UBERON_0000401>	"mandibular ramus"
<http://purl.obolibrary.org/obo/HP_3000005>	"Abnormality of masseter muscle"	<http://purl.obolibrary.org/obo/UBERON_0001597>	"masseter muscle"
<http://purl.obolibrary.org/obo/HP_0100494>	"Abnormality of mast cells"	<http://purl.obolibrary.org/obo/CL_0000097>	"mast cell"
<http://purl.obolibrary.org/obo/HP_0410011>	"Abnormality of masticatory muscle"	<http://purl.obolibrary.org/obo/UBERON_0003681>	"masticatory muscle"
<http://purl.obolibrary.org/obo/HP_3000006>	"Abnormality of medial pterygoid muscle"	<http://purl.obolibrary.org/obo/UBERON_0006718>	"medial pterygoid muscle"
<http://purl.obolibrary.org/obo/HP_3000007>	"Abnormality of mentalis muscle"	<http://purl.obolibrary.org/obo/UBERON_0008596>	"mentalis muscle"
<http://purl.obolibrary.org/obo/HP_0011911>	"Abnormality of metacarpophalangeal joint"	<http://purl.obolibrary.org/obo/UBERON_0003695>	"metacarpophalangeal joint"
<http://purl.obolibrary.org/obo/HP_0010630>	"Abnormality of metatarsal epiphysis"	<http://purl.obolibrary.org/obo/UBERON_0004389>	"epiphysis of metatarsal bone"
<http://purl.obolibrary.org/obo/HP_0010901>	"Abnormality of methionine metabolism"	<http://purl.obolibrary.org/obo/GO_0006555>	"methionine metabolic process"
<http://purl.obolibrary.org/obo/HP_0011077>	"Abnormality of molar"	<http://purl.obolibrary.org/obo/UBERON_0003655>	"molar tooth"
<http://purl.obolibrary.org/obo/HP_0010996>	"Abnormality of monocarboxylic acid metabolism"	<http://purl.obolibrary.org/obo/GO_0032787>	"monocarboxylic acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0010930>	"Abnormality of monovalent inorganic cation homeostasis"	<http://purl.obolibrary.org/obo/GO_0055067>	"monovalent inorganic cation homeostasis"
<http://purl.obolibrary.org/obo/HP_0100022>	"Abnormality of movement"	<http://purl.obolibrary.org/obo/NBO_0000403>	"voluntary movement behavior"
<http://purl.obolibrary.org/obo/HP_0011020>	"Abnormality of mucopolysaccharide metabolism"	<http://purl.obolibrary.org/obo/GO_1903510>	"mucopolysaccharide metabolic process"
<http://purl.obolibrary.org/obo/HP_0430015>	"Abnormality of musculature of pharynx"	<http://purl.obolibrary.org/obo/UBERON_0004467>	"musculature of pharynx"
<http://purl.obolibrary.org/obo/HP_0010974>	"Abnormality of myeloid leukocytes"	<http://purl.obolibrary.org/obo/CL_0000766>	"myeloid leukocyte"
<http://purl.obolibrary.org/obo/HP_3000008>	"Abnormality of mylohyoid muscle"	<http://purl.obolibrary.org/obo/UBERON_0001564>	"mylohyoid muscle"
<http://purl.obolibrary.org/obo/HP_0040057>	"Abnormality of nasal hair"	<http://purl.obolibrary.org/obo/UBERON_0011931>	"nasal hair"
